,translated,scores,compound,sentiment
42,"to create a work to help economic recovery and get vaccines, let's go","{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.5859}",0.5859,positive
43,uu create work tightening permits to transfer land functions,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}",0.2732,positive
44,work creation helps the recovery of the advanced indonesian economy,"{'neg': 0.0, 'neu': 0.511, 'pos': 0.489, 'compound': 0.6908}",0.6908,positive
45,blessings uu create optimistic work the economy recovers,"{'neg': 0.0, 'neu': 0.388, 'pos': 0.612, 'compound': 0.7845}",0.7845,positive
46,this is the answer to djp,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
47,"the work copyright law was created by the government to help public entrepreneurs so that their businesses can get a vaccine, let's go, guys","{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.5719}",0.5719,positive
48,unemployment began to decrease with the work invoice,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}",-0.4404,negative
49,"that's right, that's what created the free labor market","{'neg': 0.0, 'neu': 0.569, 'pos': 0.431, 'compound': 0.6486}",0.6486,positive
50,the leading cluster in work creation is the investment cluster because the money from investors will be used for,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.2732}",0.2732,positive
51,let's get the vaccine to create work to help restore the economy and umkm,"{'neg': 0.0, 'neu': 0.611, 'pos': 0.389, 'compound': 0.7184}",0.7184,positive
52,"the work invention helps in the recovery of the vaccine economy, let's go","{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}",0.3818,positive
53,"the existence of a work copyright helps in restoring the economy as well as vaccines, let's go","{'neg': 0.0, 'neu': 0.653, 'pos': 0.347, 'compound': 0.7096}",0.7096,positive
54,jokowi officially signed a pp derivative for the work of pkwt workers that can be contracted until the minds of the people,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
55,let's get the vaccine for the superior cluster in work creation is an investment,"{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.6808}",0.6808,positive
56,uu create work to help entrepreneurs umkm vaccine yuk gaes,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.5859}",0.5859,positive
57,a work copyright was created by the government to help public entrepreneurs so that their businesses can develop vaccines,"{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.5719}",0.5719,positive
58,"the work copyright law was made by the government to help umkm vaccine entrepreneurs, guys","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.4019,positive
59,"the government created a work copyright to help public entrepreneurs and help the economy of vaccines, let's go, guys","{'neg': 0.0, 'neu': 0.67, 'pos': 0.33, 'compound': 0.7506}",0.7506,positive
60,"let's get vaccines, the leading cluster in work creation is the investment cluster","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}",0.2732,positive
61,the leading cluster in work creation is the investment cluster because the money from investors will be used to make money,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2732}",0.2732,positive
62,"let's get vaccines, the spirit of creating work really helps the national economy and umkm recovery","{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.6997}",0.6997,positive
63,let's get the vaccine investment cluster in work creation,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}",0.2732,positive
64,let's get the vaccine to work will help in economic recovery,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}",0.4019,positive
65,the leading cluster in work creation is the investment cluster because the money from investors will be used,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.2732}",0.2732,positive
66,the government created a work copyright to help public entrepreneurs so that their businesses can revive vaccines,"{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.7269}",0.7269,positive
67,"let's get vaccines, guys, we have to know that the investment cluster is the superior cluster in the creative paper","{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.7506}",0.7506,positive
68,"the working paper was made to help economic recovery and the general progress of the vaccine, guys","{'neg': 0.0, 'neu': 0.732, 'pos': 0.268, 'compound': 0.6705}",0.6705,positive
69,"let's get vaccines, re-clustering in a working paperwork is a very useful investment cluster for eco-recovery","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4927}",0.4927,positive
70,"the leading cluster in work creation is the vaccine investment cluster, let's go","{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}",0.2732,positive
71,let's get the vaccine to work on helping the economy and umkm recovery in indonesia,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.296}",0.296,positive
72,"the leading cluster in work creation is the investment cluster that has increased vaccines, guys","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4939}",0.4939,positive
73,"work creation to help economic and public recovery and vaccines, let's go","{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.5859}",0.5859,positive
74,"support immediately legalize the copyright work in vaccines, let's not get corona running","{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.4019}",0.4019,positive
75,"a work copyright helps restore the economy and vaccine umkm, let's go, guys","{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.5859}",0.5859,positive
76,the government continues its efforts to carry out policy policies to restore indonesia's economic condition to existence,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.296}",0.296,positive
77,jokowi calls for hate foreign products director elsei is not in sync with the work copyright,"{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.5719}",-0.5719,negative
78,"those who preach are still preaching who are giving alms, still giving charity which is critical even though the krutis is full of risks","{'neg': 0.142, 'neu': 0.613, 'pos': 0.245, 'compound': 0.4939}",0.4939,positive
79,the key to work creation is to build a developed indonesian economy,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}",0.2732,positive
80,work creativity becomes a vitamin to restore the advanced indonesian economy,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.7906}",0.7906,positive
81,derivative rules for working copyright are added forward indensia,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
82,the main goal of the work of advanced indonesian creations,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.5574}",0.5574,positive
83,this is the benefit of developing advanced indonesian work,"{'neg': 0.0, 'neu': 0.583, 'pos': 0.417, 'compound': 0.6124}",0.6124,positive
84,cut bureaucracy with advanced indonesian work rules,"{'neg': 0.231, 'neu': 0.549, 'pos': 0.22, 'compound': -0.0258}",-0.0258,neutral
85,"president joko widodo issued coal ash from the category of hazardous and toxic waste, the stipulation was determined","{'neg': 0.132, 'neu': 0.755, 'pos': 0.113, 'compound': -0.1027}",-0.1027,negative
86,aaji will submit a test of the uu pph material that was changed to work copyright,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
87,aaji will submit a test of the modified uu pph material uu created the work,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.25}",0.25,positive
88,follow uu whether you are not aware or do not experience that the law works,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
89,work paperwork exists as a solution to reduce unemployment in indonesia,"{'neg': 0.22, 'neu': 0.606, 'pos': 0.174, 'compound': -0.1531}",-0.1531,negative
90,support copyright work work work,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",0.4019,positive
91,support uu copyright omnibuslaw work has a good effect,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.6808}",0.6808,positive
92,uu create work opens up a wide range of jobs uuciptakerja,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}",0.2732,positive
93,the benefits of work creation in the transportation sector for work,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.5719}",0.5719,positive
94,work creation can be a work solution,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.5267}",0.5267,positive
95,work copyright must be supported by work paper,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.3182}",0.3182,positive
96,jokowi legalizes coal waste rocky grunts to create an umbrella for oligarchic deviation,"{'neg': 0.176, 'neu': 0.692, 'pos': 0.132, 'compound': -0.1779}",-0.1779,negative
97,uu create work to accelerate economic recovery programs,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2732}",0.2732,positive
98,the benefits of creating work,"{'neg': 0.0, 'neu': 0.385, 'pos': 0.615, 'compound': 0.5859}",0.5859,positive
99,the official attitude of the general board of nahdlatul ulama related to the confirmation of the creation of work,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.2732}",0.2732,positive
100,i think it's just a doo who thinks work creation is a serious thing,"{'neg': 0.105, 'neu': 0.726, 'pos': 0.169, 'compound': 0.2023}",0.2023,positive
101,again vc and keep quiet ncdido tell me what was the fun,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5106}",0.5106,positive
102,"the refusal of the perpres of alcohol is worse than losing, even committing suicide","{'neg': 0.474, 'neu': 0.465, 'pos': 0.06, 'compound': -0.872}",-0.872,negative
103,uu create work for a prosperous indonesia jkwwujudmimpi gantigabener gantigabener,"{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.6369}",0.6369,positive
104,uu create jobs help economic recovery and umkmuu create jobs help economic recovery and umkm,"{'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.8225}",0.8225,positive
105,steady work creation in the transportation sector to make the dream come true,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.7096}",0.7096,positive
106,contract employee compensation money when the contract expires,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
107,the work copyright law increases social security for workers,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.34}",0.34,positive
108,work creation will cut the bureaucracy that complicates investment and business,"{'neg': 0.159, 'neu': 0.682, 'pos': 0.159, 'compound': 0.0}",0.0,neutral
109,failure to raise electability through action against work creation is now attacking jokowi's government,"{'neg': 0.325, 'neu': 0.567, 'pos': 0.108, 'compound': -0.6369}",-0.6369,negative
110,fight hoaxes and provocative content about work creations for the recovery of the national economy,"{'neg': 0.143, 'neu': 0.714, 'pos': 0.143, 'compound': 0.0}",0.0,neutral
111,very clear evidence of how the rulers and politicians look down on their country is the creation of creative works,"{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.7841}",0.7841,positive
112,support work copyright law,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}",0.4019,positive
113,this responds to the government's steps in following up the work draft of the ministry of public works and,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
114,ombudsman ri responded to forestry sector regulations after the enactment of the work copyright law by enacting uu no,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
115,"the waste of coal and palm oil is not included in the walhi category, which is what we are worried about from the work draft","{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.6124}",-0.6124,negative
116,selling fast and selling cheap has long been going on in the era of sby selling cheap was done with the mpei policy in the era,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
117,empowerment steps in derivative rules of work copyright,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
118,the intention of the heart to give the idea of ​​a president actually threatens the future of the next generation of mel,"{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.3818}",-0.3818,negative
119,then we all asked what for and for whom the pp was assigned and again we questioned what for,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.1027}",-0.1027,negative
120,the ministry of communication and information considers that the implementation of the work draft of the broadcast migration article can boost economic growth,"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.6486}",0.6486,positive
121,"in the derivative regulation of the work law, coal waste in the form of fly ash and bottom ash faba is removed from category l","{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
122,in the derivative regulation uu cipta of the work the coal waste in the form of fly ash and bottom ash faba is removed from,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
123,the work copyright law will reduce the occurrence of omnibuslaw dismissals with a good effect,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.4404}",0.4404,positive
124,the economy is deteriorating due to the pandemic of work law is here to overcome that all omnibuslaw is good,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4404}",0.4404,positive
125,"in fact, the workers will feel helped by the existence of an omnibuslaw work that has a good effect","{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.4404}",0.4404,positive
126,"about the direction of the pph policy in this work copyright, said the expert","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
127,stop provocation first read the facts of the benefits of omnibuslaw from copyright,"{'neg': 0.139, 'neu': 0.696, 'pos': 0.165, 'compound': 0.1027}",0.1027,positive
128,"through the law, the work of agrarian reform can run more optimally","{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3804}",0.3804,positive
129,work creation law can make business easier,"{'neg': 0.0, 'neu': 0.505, 'pos': 0.495, 'compound': 0.5994}",0.5994,positive
130,business licensing reform with work copyright,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
131,let's together we support the work copyright omnibus law,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}",0.4019,positive
132,"about the direction of pph policy in this work copyright, said the expert","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
133,ombudsman ri responded to forestry sector regulations after the enactment of the work copyright law by enacting it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
134,"according to the law faculty, work creation ignores social justice and environmental sustainability","{'neg': 0.119, 'neu': 0.568, 'pos': 0.312, 'compound': 0.5267}",0.5267,positive
135,a work copyright law can get ri out of the middle income trap,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}",-0.3182,negative
136,business establishment made easier due to the purpose of work creation to create new jobs,"{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.7184}",0.7184,positive
137,maybe you also need to make a thread about how the parties in the coalition are mema,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4019}",0.4019,positive
138,"as with waste management, technology and a qualified tbsp","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
139,indonesia's economy began to improve with the passage of work copyright laws,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}",0.4404,positive
140,"ooh that's how it was all this time i was just thinking negatively, all in china what about the silk route uu copyright work dsxf xf x x","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
141,the essence of mpei amp u create work selling fast & cheap,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}",0.2732,positive
142,perpres no year derivative of work copyright law allows investors to hunt for indonesia's underwater treasures means an iz,"{'neg': 0.1, 'neu': 0.773, 'pos': 0.127, 'compound': 0.1531}",0.1531,positive
143,perpres no. year derivative of work copyright allows investors to hunt for indonesia's underwater treasures na,"{'neg': 0.116, 'neu': 0.737, 'pos': 0.147, 'compound': 0.1531}",0.1531,positive
144,very clear evidence of how the rulers and politicians look down on their country is the creation of a work creation,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.7264}",0.7264,positive
145,both in material and formal terms the work copyright is contrary to the law and therefore will be canceled,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
146,the face of ultra anthropocentrism is in omnibuslaw or work creation,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.2732}",0.2732,positive
147,the work law guarantees certainty of severance pay for workers affected by termination of employment,"{'neg': 0.176, 'neu': 0.706, 'pos': 0.118, 'compound': 0.0}",0.0,neutral
148,i forgot earlier that one hundred percent of us could also use material testing to mk because the contents of ay were clear,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}",0.3818,positive
149,uu job creation adds security to the labor force,"{'neg': 0.0, 'neu': 0.609, 'pos': 0.391, 'compound': 0.5423}",0.5423,positive
150,jointly support the work creation to eradicate poverty,"{'neg': 0.252, 'neu': 0.382, 'pos': 0.366, 'compound': 0.128}",0.128,positive
151,government regulations to remove palm oil and coal waste are derivatives of work proposed and supported by the proposer,"{'neg': 0.127, 'neu': 0.769, 'pos': 0.104, 'compound': -0.128}",-0.128,negative
152,implementation of laws uu copyright work article migration broadcasting from terrestrial to digital or analog switches,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
153,government regulations to remove palm oil and coal waste are derivatives of work proposed and supported by,"{'neg': 0.139, 'neu': 0.746, 'pos': 0.114, 'compound': -0.128}",-0.128,negative
154,the omnibus law on work copyright can be a solution in dealing with the difficulties of the global economy due to the covid pandemic treatment,"{'neg': 0.083, 'neu': 0.83, 'pos': 0.087, 'compound': 0.0258}",0.0258,neutral
155,now business permits are easier with uu create work,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.5994}",0.5994,positive
156,i just gave one source maybe you can find more,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
157,"business establishment made easier because the purpose of the work creation is to create jobs, let's work","{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7184}",0.7184,positive
158,business establishment made easier because the purpose of the work creation is to create steady job performance,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7184}",0.7184,positive
159,work creation to support a better business climate,"{'neg': 0.0, 'neu': 0.342, 'pos': 0.658, 'compound': 0.7717}",0.7717,positive
160,"well, guys, don't worry about making a business easier because the purpose of the work copyright is to create","{'neg': 0.0, 'neu': 0.598, 'pos': 0.402, 'compound': 0.8129}",0.8129,positive
161,"fiqih imam syafii, i think how do you create work there at dawn yuri gagarin brick t","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.2732}",0.2732,positive
162,"fiqh imam syafii, what do you think about creating work at dawn, yuri doesn't work","{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.296}",0.296,positive
163,even if the establishment of a business is made easier because the purpose of the work creation is to create jobs,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.7184}",0.7184,positive
164,this work copyright will later support a better business climate,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.6808}",0.6808,positive
165,the establishment of a business has been made easier because the purpose of the work creation law is to create jobs,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.7184}",0.7184,positive
166,government steps in completing implementing regulations of the uu number year on work copyright law,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.0772}",0.0772,positive
167,the work creation law is indeed to simplify various rules and also the bureaucratic enthusiasm is welcomed by it,"{'neg': 0.0, 'neu': 0.684, 'pos': 0.316, 'compound': 0.7506}",0.7506,positive
168,pp as an implementation of work copyright is currently seen as accommodating the interests of the business world in the land relatively,"{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.25}",0.25,positive
169,the establishment of a business is made easier because the purpose of work creation is to create jobs,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7184}",0.7184,positive
170,efforts to establish a business are made easier because of the purpose of work creation to create wide employment opportunities,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.8225}",0.8225,positive
171,business establishment made easier because the purpose of the work creation is to create jobs,"{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.7184}",0.7184,positive
172,uud nri nmk will then issue a decision that the work copyright automatically does not have a,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
173,submit the formal submission to the mk because of the flaw in the procedure and its unconstitutionality in terms of aspects,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
174,together we support the creation of work for work,"{'neg': 0.0, 'neu': 0.593, 'pos': 0.407, 'compound': 0.5859}",0.5859,positive
175,work creation has many benefits for work,"{'neg': 0.0, 'neu': 0.515, 'pos': 0.485, 'compound': 0.5719}",0.5719,positive
176,the work creation code triggers the demand for labor for the job creation,"{'neg': 0.096, 'neu': 0.637, 'pos': 0.268, 'compound': 0.4019}",0.4019,positive
177,uu job creation adds social security for workers,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.5423}",0.5423,positive
