label,text,tokenize,remove_stopwords,stemming
Negative,bahaya itu kini menjadi nyata setelah pak resmi menghapus faba sebagai limbah pada aturan turunan uu cipta,"['bahaya', 'itu', 'kini', 'menjadi', 'nyata', 'setelah', 'pak', 'resmi', 'menghapus', 'faba', 'sebagai', 'limbah', 'pada', 'aturan', 'turunan', 'uu', 'cipta']","['bahaya', 'nyata', 'resmi', 'menghapus', 'faba', 'limbah', 'aturan', 'turunan', 'uu', 'cipta']","['bahaya', 'nyata', 'resmi', 'hapus', 'faba', 'limbah', 'atur', 'turun', 'uu', 'cipta']"
Positive,manfaat uu cipta kerja buka lapangan kerja hingga kemudahan berusaha mendinglokalaja,"['manfaat', 'uu', 'cipta', 'kerja', 'buka', 'lapangan', 'kerja', 'hingga', 'kemudahan', 'berusaha', 'mendinglokalaja']","['manfaat', 'uu', 'cipta', 'kerja', 'buka', 'lapangan', 'kerja', 'kemudahan', 'berusaha', 'mendinglokalaja']","['manfaat', 'uu', 'cipta', 'kerja', 'buka', 'lapang', 'kerja', 'mudah', 'usaha', 'mendinglokalaja']"
Neutral,uu cipta kerja sama sekali tak merugikan pekerja atau buruh neverendingonethestory,"['uu', 'cipta', 'kerja', 'sama', 'sekali', 'tak', 'merugikan', 'pekerja', 'atau', 'buruh', 'neverendingonethestory']","['uu', 'cipta', 'kerja', 'merugikan', 'pekerja', 'buruh', 'neverendingonethestory']","['uu', 'cipta', 'kerja', 'rugi', 'kerja', 'buruh', 'neverendingonethestory']"
Neutral,alur pendirian koperasi primer dibentuk paling sedikit oleh sembilan orang sesuai dengan uu tahun tent,"['alur', 'pendirian', 'koperasi', 'primer', 'dibentuk', 'paling', 'sedikit', 'oleh', 'sembilan', 'orang', 'sesuai', 'dengan', 'uu', 'tahun', 'tent']","['alur', 'pendirian', 'koperasi', 'primer', 'dibentuk', 'sembilan', 'orang', 'sesuai', 'uu', 'tent']","['alur', 'diri', 'koperasi', 'primer', 'bentuk', 'sembilan', 'orang', 'sesuai', 'uu', 'tent']"
Neutral,uu cipta kerja rakyat sejahteraaa ruanggurugiveaway,"['uu', 'cipta', 'kerja', 'rakyat', 'sejahteraaa', 'ruanggurugiveaway']","['uu', 'cipta', 'kerja', 'rakyat', 'sejahteraaa', 'ruanggurugiveaway']","['uu', 'cipta', 'kerja', 'rakyat', 'sejahteraaa', 'ruanggurugiveaway']"
Positive,vaksin yuk gaes nuu cipta kerja membantu pemulihan ekonomi dan umkm,"['vaksin', 'yuk', 'gaes', 'nuu', 'cipta', 'kerja', 'membantu', 'pemulihan', 'ekonomi', 'dan', 'umkm']","['vaksin', 'yuk', 'gaes', 'nuu', 'cipta', 'kerja', 'membantu', 'pemulihan', 'ekonomi', 'umkm']","['vaksin', 'yuk', 'gaes', 'nuu', 'cipta', 'kerja', 'bantu', 'pulih', 'ekonomi', 'umkm']"
Positive,uu cipta kerja percepat program pemulihan ekonomi nasional,"['uu', 'cipta', 'kerja', 'percepat', 'program', 'pemulihan', 'ekonomi', 'nasional']","['uu', 'cipta', 'kerja', 'percepat', 'program', 'pemulihan', 'ekonomi', 'nasional']","['uu', 'cipta', 'kerja', 'cepat', 'program', 'pulih', 'ekonomi', 'nasional']"
Positive,vaksin yuk gaes nklaster unggulan dalam uu cipta kerja adalah klaster investasi,"['vaksin', 'yuk', 'gaes', 'nklaster', 'unggulan', 'dalam', 'uu', 'cipta', 'kerja', 'adalah', 'klaster', 'investasi']","['vaksin', 'yuk', 'gaes', 'nklaster', 'unggulan', 'uu', 'cipta', 'kerja', 'klaster', 'investasi']","['vaksin', 'yuk', 'gaes', 'nklaster', 'unggul', 'uu', 'cipta', 'kerja', 'klaster', 'investasi']"
Negative,uu cipta kerja jamin kepastian pesangon bagi pekerja terdampak phk,"['uu', 'cipta', 'kerja', 'jamin', 'kepastian', 'pesangon', 'bagi', 'pekerja', 'terdampak', 'phk']","['uu', 'cipta', 'kerja', 'jamin', 'kepastian', 'pesangon', 'pekerja', 'terdampak', 'phk']","['uu', 'cipta', 'kerja', 'jamin', 'pasti', 'sangon', 'kerja', 'dampak', 'phk']"
Neutral,perpajakan atas spdn op wna pasca uu cipta kerja,"['perpajakan', 'atas', 'spdn', 'op', 'wna', 'pasca', 'uu', 'cipta', 'kerja']","['perpajakan', 'spdn', 'op', 'wna', 'pasca', 'uu', 'cipta', 'kerja']","['paja', 'spdn', 'op', 'wna', 'pasca', 'uu', 'cipta', 'kerja']"
Positive,bank syariah kecipratan berkah dari uu cipta kerja,"['bank', 'syariah', 'kecipratan', 'berkah', 'dari', 'uu', 'cipta', 'kerja']","['bank', 'syariah', 'kecipratan', 'berkah', 'uu', 'cipta', 'kerja']","['bank', 'syariah', 'ciprat', 'berkah', 'uu', 'cipta', 'kerja']"
Neutral,uu cipta kerja percepatan pemulihan ekonomi indonesia,"['uu', 'cipta', 'kerja', 'percepatan', 'pemulihan', 'ekonomi', 'indonesia']","['uu', 'cipta', 'kerja', 'percepatan', 'pemulihan', 'ekonomi', 'indonesia']","['uu', 'cipta', 'kerja', 'cepat', 'pulih', 'ekonomi', 'indonesia']"
Positive,dengan adanya uu cipta kerja menjadikan para pekerja dan buruh sejahtera,"['dengan', 'adanya', 'uu', 'cipta', 'kerja', 'menjadikan', 'para', 'pekerja', 'dan', 'buruh', 'sejahtera']","['uu', 'cipta', 'kerja', 'menjadikan', 'pekerja', 'buruh', 'sejahtera']","['uu', 'cipta', 'kerja', 'jadi', 'kerja', 'buruh', 'sejahtera']"
Negative,dr uu kpk rkuhp smpe cipta kerja warga indon cuma ribut diawal awal doa,"['dr', 'uu', 'kpk', 'rkuhp', 'smpe', 'cipta', 'kerja', 'warga', 'indon', 'cuma', 'ribut', 'diawal', 'awal', 'doa']","['dr', 'uu', 'kpk', 'rkuhp', 'smpe', 'cipta', 'kerja', 'warga', 'indon', 'ribut', 'diawal', 'doa']","['dr', 'uu', 'kpk', 'rkuhp', 'smpe', 'cipta', 'kerja', 'warga', 'indon', 'ribut', 'awal', 'doa']"
Neutral,uu cipta kerja percepat pemulihan ekonomi nasional,"['uu', 'cipta', 'kerja', 'percepat', 'pemulihan', 'ekonomi', 'nasional']","['uu', 'cipta', 'kerja', 'percepat', 'pemulihan', 'ekonomi', 'nasional']","['uu', 'cipta', 'kerja', 'cepat', 'pulih', 'ekonomi', 'nasional']"
Positive,uu cipta kerja untuk ekonomi indonesia maju uuciptakerja,"['uu', 'cipta', 'kerja', 'untuk', 'ekonomi', 'indonesia', 'maju', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'ekonomi', 'indonesia', 'maju', 'uuciptakerja']","['uu', 'cipta', 'kerja', 'ekonomi', 'indonesia', 'maju', 'uuciptakerja']"
Positive,kasus faktual begini apakah sudah terakomodasi dalam uu cipta kerja baik secara konseptual ataupun teknikal,"['kasus', 'faktual', 'begini', 'apakah', 'sudah', 'terakomodasi', 'dalam', 'uu', 'cipta', 'kerja', 'baik', 'secara', 'konseptual', 'ataupun', 'teknikal']","['faktual', 'terakomodasi', 'uu', 'cipta', 'kerja', 'konseptual', 'teknikal']","['faktual', 'akomodasi', 'uu', 'cipta', 'kerja', 'konseptual', 'teknikal']"
Positive,klaster unggulan dalam uu cipta kerja adalah klaster investasi vaksin yuk gaes,"['klaster', 'unggulan', 'dalam', 'uu', 'cipta', 'kerja', 'adalah', 'klaster', 'investasi', 'vaksin', 'yuk', 'gaes']","['klaster', 'unggulan', 'uu', 'cipta', 'kerja', 'klaster', 'investasi', 'vaksin', 'yuk', 'gaes']","['klaster', 'unggul', 'uu', 'cipta', 'kerja', 'klaster', 'investasi', 'vaksin', 'yuk', 'gaes']"
Positive,uu cipta kerja bertujuan membangun dan mensejahterakan nmasyarakat vaksin yuk gaes,"['uu', 'cipta', 'kerja', 'bertujuan', 'membangun', 'dan', 'mensejahterakan', 'nmasyarakat', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'bertujuan', 'membangun', 'mensejahterakan', 'nmasyarakat', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'tuju', 'bangun', 'sejahtera', 'nmasyarakat', 'vaksin', 'yuk', 'gaes']"
Neutral,uu omnibus law cipta kerja bertujuan membangun dan mensejahterakan nmasyarakat vaksin yuk gaes,"['uu', 'omnibus', 'law', 'cipta', 'kerja', 'bertujuan', 'membangun', 'dan', 'mensejahterakan', 'nmasyarakat', 'vaksin', 'yuk', 'gaes']","['uu', 'omnibus', 'law', 'cipta', 'kerja', 'bertujuan', 'membangun', 'mensejahterakan', 'nmasyarakat', 'vaksin', 'yuk', 'gaes']","['uu', 'omnibus', 'law', 'cipta', 'kerja', 'tuju', 'bangun', 'sejahtera', 'nmasyarakat', 'vaksin', 'yuk', 'gaes']"
Positive,uu cipta kerja penting tapi vaksin yuk gaes,"['uu', 'cipta', 'kerja', 'penting', 'tapi', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'vaksin', 'yuk', 'gaes']"
Positive,uu cipta kerja membantu pemulihan ekonomi dan umkm vaksin yuk gaes,"['uu', 'cipta', 'kerja', 'membantu', 'pemulihan', 'ekonomi', 'dan', 'umkm', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'membantu', 'pemulihan', 'ekonomi', 'umkm', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'bantu', 'pulih', 'ekonomi', 'umkm', 'vaksin', 'yuk', 'gaes']"
Positive,uu cipta kerja memperketat izin alih fungsi lahan,"['uu', 'cipta', 'kerja', 'memperketat', 'izin', 'alih', 'fungsi', 'lahan']","['uu', 'cipta', 'kerja', 'memperketat', 'izin', 'alih', 'fungsi', 'lahan']","['uu', 'cipta', 'kerja', 'ketat', 'izin', 'alih', 'fungsi', 'lahan']"
Positive,uu cipta kerja membantu pemulihan ekonomi indoensia maju,"['uu', 'cipta', 'kerja', 'membantu', 'pemulihan', 'ekonomi', 'indoensia', 'maju']","['uu', 'cipta', 'kerja', 'membantu', 'pemulihan', 'ekonomi', 'indoensia', 'maju']","['uu', 'cipta', 'kerja', 'bantu', 'pulih', 'ekonomi', 'indoensia', 'maju']"
Positive,berkah uu cipta kerja optimis ekonomi pulih,"['berkah', 'uu', 'cipta', 'kerja', 'optimis', 'ekonomi', 'pulih']","['berkah', 'uu', 'cipta', 'kerja', 'optimis', 'ekonomi', 'pulih']","['berkah', 'uu', 'cipta', 'kerja', 'optimis', 'ekonomi', 'pulih']"
Neutral,soal rencana aaji gugat uu cipta kerja begini jawaban djp,"['soal', 'rencana', 'aaji', 'gugat', 'uu', 'cipta', 'kerja', 'begini', 'jawaban', 'djp']","['rencana', 'aaji', 'gugat', 'uu', 'cipta', 'kerja', 'djp']","['rencana', 'aaji', 'gugat', 'uu', 'cipta', 'kerja', 'djp']"
Positive,uu cipta kerja dibuat oleh pemerintah untuk menolong para pengusaha umkm agar bisnis mereka bisa bangkit vaksin yuk gaes h,"['uu', 'cipta', 'kerja', 'dibuat', 'oleh', 'pemerintah', 'untuk', 'menolong', 'para', 'pengusaha', 'umkm', 'agar', 'bisnis', 'mereka', 'bisa', 'bangkit', 'vaksin', 'yuk', 'gaes', 'h']","['uu', 'cipta', 'kerja', 'pemerintah', 'menolong', 'pengusaha', 'umkm', 'bisnis', 'bangkit', 'vaksin', 'yuk', 'gaes', 'h']","['uu', 'cipta', 'kerja', 'perintah', 'tolong', 'usaha', 'umkm', 'bisnis', 'bangkit', 'vaksin', 'yuk', 'gaes', 'h']"
Negative,pengangguran mulai berkurang dengan adanya uu cipta kerja,"['pengangguran', 'mulai', 'berkurang', 'dengan', 'adanya', 'uu', 'cipta', 'kerja']","['pengangguran', 'berkurang', 'uu', 'cipta', 'kerja']","['anggur', 'kurang', 'uu', 'cipta', 'kerja']"
Positive,betul itu juga yang uu cipta kerja bangun free market labour,"['betul', 'itu', 'juga', 'yang', 'uu', 'cipta', 'kerja', 'bangun', 'free', 'market', 'labour']","['uu', 'cipta', 'kerja', 'bangun', 'free', 'market', 'labour']","['uu', 'cipta', 'kerja', 'bangun', 'free', 'market', 'labour']"
Positive,klaster unggulan dalam uu cipta kerja adalah klaster investasi karena uang dari para investor akan digunakan untuk,"['klaster', 'unggulan', 'dalam', 'uu', 'cipta', 'kerja', 'adalah', 'klaster', 'investasi', 'karena', 'uang', 'dari', 'para', 'investor', 'akan', 'digunakan', 'untuk']","['klaster', 'unggulan', 'uu', 'cipta', 'kerja', 'klaster', 'investasi', 'uang', 'investor']","['klaster', 'unggul', 'uu', 'cipta', 'kerja', 'klaster', 'investasi', 'uang', 'investor']"
Positive,vaksin yuk gaes nuu cipta kerja bantu pemulihan ekonomi dan umkm,"['vaksin', 'yuk', 'gaes', 'nuu', 'cipta', 'kerja', 'bantu', 'pemulihan', 'ekonomi', 'dan', 'umkm']","['vaksin', 'yuk', 'gaes', 'nuu', 'cipta', 'kerja', 'bantu', 'pemulihan', 'ekonomi', 'umkm']","['vaksin', 'yuk', 'gaes', 'nuu', 'cipta', 'kerja', 'bantu', 'pulih', 'ekonomi', 'umkm']"
Positive,uu cipta kerja membantu dalam pemulihan ekonomi vaksin yuk gaes,"['uu', 'cipta', 'kerja', 'membantu', 'dalam', 'pemulihan', 'ekonomi', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'membantu', 'pemulihan', 'ekonomi', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'bantu', 'pulih', 'ekonomi', 'vaksin', 'yuk', 'gaes']"
Positive,adanya uu cipta kerja membantu dalam memulihkan ekonomi serta umkm vaksin yuk gaes,"['adanya', 'uu', 'cipta', 'kerja', 'membantu', 'dalam', 'memulihkan', 'ekonomi', 'serta', 'umkm', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'membantu', 'memulihkan', 'ekonomi', 'umkm', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'bantu', 'pulih', 'ekonomi', 'umkm', 'vaksin', 'yuk', 'gaes']"
Neutral,jokowi resmi teken pp turunan uu cipta kerja pekerja pkwt bisa dikontrak hingga tahun pikiran rakyat,"['jokowi', 'resmi', 'teken', 'pp', 'turunan', 'uu', 'cipta', 'kerja', 'pekerja', 'pkwt', 'bisa', 'dikontrak', 'hingga', 'tahun', 'pikiran', 'rakyat']","['jokowi', 'resmi', 'teken', 'pp', 'turunan', 'uu', 'cipta', 'kerja', 'pekerja', 'pkwt', 'dikontrak', 'pikiran', 'rakyat']","['jokowi', 'resmi', 'teken', 'pp', 'turun', 'uu', 'cipta', 'kerja', 'kerja', 'pkwt', 'kontrak', 'pikir', 'rakyat']"
Positive,vaksin yuk gaes nklaster unggulan dalam uu cipta kerja adalah investasi,"['vaksin', 'yuk', 'gaes', 'nklaster', 'unggulan', 'dalam', 'uu', 'cipta', 'kerja', 'adalah', 'investasi']","['vaksin', 'yuk', 'gaes', 'nklaster', 'unggulan', 'uu', 'cipta', 'kerja', 'investasi']","['vaksin', 'yuk', 'gaes', 'nklaster', 'unggul', 'uu', 'cipta', 'kerja', 'investasi']"
Positive,uu cipta kerja utk menolong para pengusaha umkm vaksin yuk gaes,"['uu', 'cipta', 'kerja', 'utk', 'menolong', 'para', 'pengusaha', 'umkm', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'utk', 'menolong', 'pengusaha', 'umkm', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'utk', 'tolong', 'usaha', 'umkm', 'vaksin', 'yuk', 'gaes']"
Positive,uu cipta kerja dibuat oleh pemerintah untuk menolong para pengusaha umkm agar bisnis mereka bisa bangkit vaksin,"['uu', 'cipta', 'kerja', 'dibuat', 'oleh', 'pemerintah', 'untuk', 'menolong', 'para', 'pengusaha', 'umkm', 'agar', 'bisnis', 'mereka', 'bisa', 'bangkit', 'vaksin']","['uu', 'cipta', 'kerja', 'pemerintah', 'menolong', 'pengusaha', 'umkm', 'bisnis', 'bangkit', 'vaksin']","['uu', 'cipta', 'kerja', 'perintah', 'tolong', 'usaha', 'umkm', 'bisnis', 'bangkit', 'vaksin']"
Positive,uu cipta kerja dibuat pemerintah untuk menolong para pengusaha umkm vaksin yuk gaes,"['uu', 'cipta', 'kerja', 'dibuat', 'pemerintah', 'untuk', 'menolong', 'para', 'pengusaha', 'umkm', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'pemerintah', 'menolong', 'pengusaha', 'umkm', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'perintah', 'tolong', 'usaha', 'umkm', 'vaksin', 'yuk', 'gaes']"
Positive,uu cipta kerja dibuat pemerintah untuk menolong para pengusaha umkm dan membantu pemulihan ekonomi vaksin yuk gaes,"['uu', 'cipta', 'kerja', 'dibuat', 'pemerintah', 'untuk', 'menolong', 'para', 'pengusaha', 'umkm', 'dan', 'membantu', 'pemulihan', 'ekonomi', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'pemerintah', 'menolong', 'pengusaha', 'umkm', 'membantu', 'pemulihan', 'ekonomi', 'vaksin', 'yuk', 'gaes']","['uu', 'cipta', 'kerja', 'perintah', 'tolong', 'usaha', 'umkm', 'bantu', 'pulih', 'ekonomi', 'vaksin', 'yuk', 'gaes']"
Positive,vaksin yuk gaes ncluster unggulan dalam uu cipta kerja adalah cluster investasi,"['vaksin', 'yuk', 'gaes', 'ncluster', 'unggulan', 'dalam', 'uu', 'cipta', 'kerja', 'adalah', 'cluster', 'investasi']","['vaksin', 'yuk', 'gaes', 'ncluster', 'unggulan', 'uu', 'cipta', 'kerja', 'cluster', 'investasi']","['vaksin', 'yuk', 'gaes', 'ncluster', 'unggul', 'uu', 'cipta', 'kerja', 'cluster', 'investasi']"
Positive,klaster unggulan dalam uu cipta kerja adalah klaster investasi karena uang dari para investor yang aakn digunakan untuk memb,"['klaster', 'unggulan', 'dalam', 'uu', 'cipta', 'kerja', 'adalah', 'klaster', 'investasi', 'karena', 'uang', 'dari', 'para', 'investor', 'yang', 'aakn', 'digunakan', 'untuk', 'memb']","['klaster', 'unggulan', 'uu', 'cipta', 'kerja', 'klaster', 'investasi', 'uang', 'investor', 'aakn', 'memb']","['klaster', 'unggul', 'uu', 'cipta', 'kerja', 'klaster', 'investasi', 'uang', 'investor', 'aakn', 'memb']"
